W0821 19:05:20.492022 10495 device_context.cc:404] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W0821 19:05:20.495554 10495 device_context.cc:422] device: 0, cuDNN Version: 7.6.
epoch: 0, batch_id: 0, loss is: [2.7582743], acc is: [0.09375]
epoch: 0, batch_id: 100, loss is: [0.34729263], acc is: [0.875]
epoch: 0, batch_id: 200, loss is: [0.11684914], acc is: [0.953125]
epoch: 0, batch_id: 300, loss is: [0.24802774], acc is: [0.921875]
epoch: 0, batch_id: 400, loss is: [0.20932001], acc is: [0.921875]
epoch: 0, batch_id: 500, loss is: [0.18212414], acc is: [0.9375]
epoch: 0, batch_id: 600, loss is: [0.05572675], acc is: [0.984375]
epoch: 0, batch_id: 700, loss is: [0.11618361], acc is: [0.96875]
epoch: 0, batch_id: 800, loss is: [0.02765094], acc is: [1.]
epoch: 0, batch_id: 900, loss is: [0.03116404], acc is: [1.]
epoch: 1, batch_id: 0, loss is: [0.06005695], acc is: [0.984375]
epoch: 1, batch_id: 100, loss is: [0.09030207], acc is: [0.953125]
epoch: 1, batch_id: 200, loss is: [0.00971111], acc is: [1.]
epoch: 1, batch_id: 300, loss is: [0.0859701], acc is: [0.96875]
epoch: 1, batch_id: 400, loss is: [0.03089622], acc is: [1.]
epoch: 1, batch_id: 500, loss is: [0.02542401], acc is: [1.]
epoch: 1, batch_id: 600, loss is: [0.0172819], acc is: [0.984375]
epoch: 1, batch_id: 700, loss is: [0.00903519], acc is: [1.]
epoch: 1, batch_id: 800, loss is: [0.14544022], acc is: [0.96875]
epoch: 1, batch_id: 900, loss is: [0.07513119], acc is: [0.953125]
epoch: 2, batch_id: 0, loss is: [0.008006], acc is: [1.]
epoch: 2, batch_id: 100, loss is: [0.00427142], acc is: [1.]
epoch: 2, batch_id: 200, loss is: [0.00789216], acc is: [1.]
epoch: 2, batch_id: 300, loss is: [0.00521122], acc is: [1.]
epoch: 2, batch_id: 400, loss is: [0.01258488], acc is: [1.]
epoch: 2, batch_id: 500, loss is: [0.14268908], acc is: [0.96875]
epoch: 2, batch_id: 600, loss is: [0.00246929], acc is: [1.]
epoch: 2, batch_id: 700, loss is: [0.00728526], acc is: [1.]
epoch: 2, batch_id: 800, loss is: [0.03014855], acc is: [0.984375]
epoch: 2, batch_id: 900, loss is: [0.03672447], acc is: [0.984375]
epoch: 3, batch_id: 0, loss is: [0.02536013], acc is: [1.]
epoch: 3, batch_id: 100, loss is: [0.01086698], acc is: [1.]
epoch: 3, batch_id: 200, loss is: [0.00354133], acc is: [1.]
epoch: 3, batch_id: 300, loss is: [0.10149777], acc is: [0.96875]
epoch: 3, batch_id: 400, loss is: [0.0061435], acc is: [1.]
epoch: 3, batch_id: 500, loss is: [0.00326533], acc is: [1.]
epoch: 3, batch_id: 600, loss is: [0.00890965], acc is: [1.]
epoch: 3, batch_id: 700, loss is: [0.01373388], acc is: [1.]
epoch: 3, batch_id: 800, loss is: [0.00373803], acc is: [1.]
epoch: 3, batch_id: 900, loss is: [0.00539823], acc is: [1.]
epoch: 4, batch_id: 0, loss is: [0.03714768], acc is: [0.984375]
epoch: 4, batch_id: 100, loss is: [0.00385568], acc is: [1.]
epoch: 4, batch_id: 200, loss is: [0.03365421], acc is: [0.96875]
epoch: 4, batch_id: 300, loss is: [0.02331857], acc is: [1.]
epoch: 4, batch_id: 400, loss is: [0.01797301], acc is: [0.984375]
epoch: 4, batch_id: 500, loss is: [0.0957818], acc is: [0.96875]
epoch: 4, batch_id: 600, loss is: [0.00737693], acc is: [1.]
epoch: 4, batch_id: 700, loss is: [0.00288203], acc is: [1.]
epoch: 4, batch_id: 800, loss is: [0.00993434], acc is: [1.]
epoch: 4, batch_id: 900, loss is: [0.03836047], acc is: [0.984375]
epoch: 5, batch_id: 0, loss is: [0.00915726], acc is: [1.]
epoch: 5, batch_id: 100, loss is: [0.0016662], acc is: [1.]
epoch: 5, batch_id: 200, loss is: [0.08670887], acc is: [0.953125]
epoch: 5, batch_id: 300, loss is: [0.00356958], acc is: [1.]
epoch: 5, batch_id: 400, loss is: [0.01139453], acc is: [0.984375]
epoch: 5, batch_id: 500, loss is: [0.05775305], acc is: [0.984375]
epoch: 5, batch_id: 600, loss is: [0.01709074], acc is: [0.984375]
epoch: 5, batch_id: 700, loss is: [0.00612179], acc is: [1.]
epoch: 5, batch_id: 800, loss is: [0.00648477], acc is: [1.]
epoch: 5, batch_id: 900, loss is: [0.00081379], acc is: [1.]
epoch: 6, batch_id: 0, loss is: [0.01497149], acc is: [0.984375]
epoch: 6, batch_id: 100, loss is: [0.00498165], acc is: [1.]
epoch: 6, batch_id: 200, loss is: [0.00161775], acc is: [1.]
epoch: 6, batch_id: 300, loss is: [0.0011132], acc is: [1.]
epoch: 6, batch_id: 400, loss is: [0.00672936], acc is: [1.]
epoch: 6, batch_id: 500, loss is: [0.00353596], acc is: [1.]
epoch: 6, batch_id: 600, loss is: [0.00818687], acc is: [1.]
epoch: 6, batch_id: 700, loss is: [0.0040792], acc is: [1.]
epoch: 6, batch_id: 800, loss is: [0.00029912], acc is: [1.]
epoch: 6, batch_id: 900, loss is: [0.00871382], acc is: [1.]
epoch: 7, batch_id: 0, loss is: [0.01104636], acc is: [1.]
epoch: 7, batch_id: 100, loss is: [0.00926206], acc is: [1.]
epoch: 7, batch_id: 200, loss is: [0.01945404], acc is: [0.984375]
epoch: 7, batch_id: 300, loss is: [0.07956489], acc is: [0.984375]
epoch: 7, batch_id: 400, loss is: [0.01801532], acc is: [1.]
epoch: 7, batch_id: 500, loss is: [0.01322181], acc is: [1.]
epoch: 7, batch_id: 600, loss is: [0.00654936], acc is: [1.]
